Ἐν <=> In
ἀρχῇ <=> beginning
ἐποίησεν <=> made
ὁ <=> the
θεὸς <=> God
τὸν <=> the
οὐρανὸν <=> heaven
καὶ <=> and
τὴν <=> the
γῆν. <=> earth

ἡ <=> The
δὲ <=> and
γῆ <=> earth
ἦν <=> was
ἀόρατος <=> invisible
καὶ <=> and
ἀκατασκεύαστος, <=> unfurnished
καὶ <=> and
σκότος <=> darkness
ἐπάνω <=> above
τῆς <=> the
ἀβύσσου, <=> abyss
καὶ <=> and
πνεῦμα <=> Spirit
θεοῦ <=> of God
ἐπεφέρετο <=> was carried
ἐπάνω <=> above
τοῦ <=> the
ὕδατος. <=> water

καὶ <=> And
εἶπεν <=> said
ὁ <=> the
θεός· <=> God
γενηθήτω <=> let there be
φῶς. <=> light
καὶ <=> and
ἐγένετο <=> there was
φῶς. <=> light

καὶ <=> And
εἶδεν <=> saw
ὁ <=> the
θεὸς <=> God
τὸ <=> the
φῶς <=> light
ὅτι <=> that
καλόν· <=> good
καὶ <=> and
διεχώρισεν <=> separated
ὁ <=> the
θεὸς <=> God
ἀνὰ <=> between
μέσον <=> middle
τοῦ <=> the
φωτὸς <=> light
καὶ <=> and
ἀνὰ <=> between
μέσον <=> middle
τοῦ <=> the
σκότους. <=> darkness

καὶ <=> And
ἐκάλεσεν <=> called
ὁ <=> the
θεὸς <=> God
τὸ <=> the
φῶς <=> light
ἡμέραν <=> day
καὶ <=> and
τὸ <=> the
σκότος <=> darkness
ἐκάλεσεν <=> he called
νύκτα. <=> night
καὶ <=> and
ἐγένετο <=> there was
ἑσπέρα <=> evening
καὶ <=> and
ἐγένετο <=> there was
πρωί, <=> morning
ἡμέρα <=> day
μία. <=> one

Καὶ <=> And
εἶπεν <=> said
ὁ <=> the
θεός, <=> God
γενηθήτω <=> let there be
στερέωμα <=> firmament
ἐν <=> in
μέσῳ <=> midst
τοῦ <=> of the
ὕδατος <=> water
καὶ <=> and
ἔστω <=> let it be
διαχωρίζον <=> separating
ἀνὰ <=> between
μέσον <=> midst
ὕδατος <=> water
καὶ <=> and
ὕδατος. <=> water
καὶ <=> and
ἐγένετο <=> it was
οὕτως. <=> so

καὶ <=> and
ἐποίησεν <=> made
ὁ <=> the
θεὸς <=> God
τὸ <=> the
στερέωμα, <=> firmament
καὶ <=> and
διεχώρισεν <=> separated
ὁ <=> the
θεὸς <=> God
ἀνὰ <=> between
μέσον <=> midst
τοῦ <=> of the
ὕδατος, <=> water
ὃ <=> which
ἦν <=> was
ὑποκάτω <=> under
τοῦ <=> the
στερεώματος, <=> firmament
καὶ <=> and
ἀνὰ <=> between
μέσον <=> midst
τοῦ <=> of the
ὕδατος <=> water
τοῦ <=> the
ἐπάνω <=> above
τοῦ <=> the
στερεώματος. <=> firmament

καὶ <=> and
ἐκάλεσεν <=> called
ὁ <=> the
θεὸς <=> God
τὸ <=> the
στερέωμα <=> firmament
οὐρανόν. <=> heaven
καὶ <=> and
εἶδεν <=> saw
ὁ <=> the
θεὸς <=> God
ὅτι <=> that
καλόν. <=> it was good
καὶ <=> and
ἐγένετο <=> there was
ἑσπέρα <=> evening
καὶ <=> and
ἐγένετο <=> there was
πρωί, <=> morning
ἡμέρα <=> day
δευτέρα. <=> second

Καὶ <=> And
εἶπεν <=> said
ὁ <=> the
θεός, <=> God
συναχθήτω <=> let be gathered
τὸ <=> the
ὕδωρ <=> water
τὸ <=> the
ὑποκάτω <=> under
τοῦ <=> the
οὐρανοῦ <=> heaven
εἰς <=> into
συναγωγὴν <=> gathering
μίαν, <=> one
καὶ <=> and
ὀφθήτω <=> let appear
ἡ <=> the
ξηρά. <=> dry land
καὶ <=> and
ἐγένετο <=> it was so
οὕτως. <=> thus
καὶ <=> and
συνήχθη <=> was gathered
τὸ <=> the
ὕδωρ <=> water
τὸ <=> the
ὑποκάτω <=> under
τοῦ <=> the
οὐρανοῦ <=> heaven
εἰς <=> into
τὰς <=> the
συναγωγὰς <=> gatherings
αὐτῶν, <=> their
καὶ <=> and
ὤφθη <=> appeared
ἡ <=> the
ξηρά. <=> dry land

καὶ <=> and
ἐκάλεσεν <=> called
ὁ <=> the
θεὸς <=> God
τὴν <=> the
ξηρὰν <=> dry land
γῆν <=> land
καὶ <=> and
τὰ <=> the
συστήματα <=> gatherings
τῶν <=> of the
ὑδάτων <=> waters
ἐκάλεσεν <=> he called
θαλάσσας. <=> seas
καὶ <=> and
εἶδεν <=> saw
ὁ <=> the
θεὸς <=> God
ὅτι <=> that
καλόν.— <=> it was good
