id	form	line	source_line	local_context	output_a	correct_a	error_a	output_b	correct_b	error_b	output_c	correct_c	error_c	output_d	correct_d	error_d	preferred	candidate_x_1	valid_x_1	candidate_x_2	valid_x_2	candidate_x_3	valid_x_3	candidate_y_1	valid_y_1	candidate_y_2	valid_y_2	candidate_y_3	valid_y_3	notes
1	μῆνιν	1	μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος	μῆνιν ἄειδε θεὰ Πηληϊάδεω	wrath	unscored	unscored	wrath	unscored	unscored		unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
2	ἄειδε	1	μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος	μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος	sing	unscored	unscored		unscored	unscored		unscored	unscored	sing	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
3	θεὰ	1	μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος	μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος οὐλομένην,		unscored	unscored		unscored	unscored	goddess	unscored	unscored	goddess	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
4	Πηληϊάδεω	1	μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος	μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος οὐλομένην, ἣ		unscored	unscored	of Peleus' son	unscored	unscored	son-of-Peleus	unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
5	Ἀχιλῆος	1	μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος	ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος οὐλομένην, ἣ μυρίʼ	of Achilles	unscored	unscored	of-Achilles	unscored	unscored		unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
6	οὐλομένην,	2	οὐλομένην, ἣ μυρίʼ Ἀχαιοῖς ἄλγεʼ ἔθηκε,	θεὰ Πηληϊάδεω Ἀχιλῆος οὐλομένην, ἣ μυρίʼ Ἀχαιοῖς	ruinous	unscored	unscored		unscored	unscored		unscored	unscored	destructive	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
7	ἣ	2	οὐλομένην, ἣ μυρίʼ Ἀχαιοῖς ἄλγεʼ ἔθηκε,	Πηληϊάδεω Ἀχιλῆος οὐλομένην, ἣ μυρίʼ Ἀχαιοῖς ἄλγεʼ		unscored	unscored		unscored	unscored	which	unscored	unscored	which	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
8	μυρίʼ	2	οὐλομένην, ἣ μυρίʼ Ἀχαιοῖς ἄλγεʼ ἔθηκε,	Ἀχιλῆος οὐλομένην, ἣ μυρίʼ Ἀχαιοῖς ἄλγεʼ ἔθηκε,		unscored	unscored	countless	unscored	unscored	innumerable	unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
9	Ἀχαιοῖς	2	οὐλομένην, ἣ μυρίʼ Ἀχαιοῖς ἄλγεʼ ἔθηκε,	οὐλομένην, ἣ μυρίʼ Ἀχαιοῖς ἄλγεʼ ἔθηκε, πολλὰς	for the Achaeans	unscored	unscored	to-the-Achaeans	unscored	unscored		unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
10	ἄλγεʼ	2	οὐλομένην, ἣ μυρίʼ Ἀχαιοῖς ἄλγεʼ ἔθηκε,	ἣ μυρίʼ Ἀχαιοῖς ἄλγεʼ ἔθηκε, πολλὰς δʼ	griefs	unscored	unscored		unscored	unscored		unscored	unscored	sorrows	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
11	ἔθηκε,	2	οὐλομένην, ἣ μυρίʼ Ἀχαιοῖς ἄλγεʼ ἔθηκε,	μυρίʼ Ἀχαιοῖς ἄλγεʼ ἔθηκε, πολλὰς δʼ ἰφθίμους		unscored	unscored		unscored	unscored	it caused	unscored	unscored	she-set	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
12	πολλὰς	3	πολλὰς δʼ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν	Ἀχαιοῖς ἄλγεʼ ἔθηκε, πολλὰς δʼ ἰφθίμους ψυχὰς		unscored	unscored	many	unscored	unscored	many	unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
13	δʼ	3	πολλὰς δʼ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν	ἄλγεʼ ἔθηκε, πολλὰς δʼ ἰφθίμους ψυχὰς Ἄϊδι	and	unscored	unscored	and	unscored	unscored		unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
14	ἰφθίμους	3	πολλὰς δʼ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν	ἔθηκε, πολλὰς δʼ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν	valiant	unscored	unscored		unscored	unscored		unscored	unscored	strong	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
15	ψυχὰς	3	πολλὰς δʼ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν	πολλὰς δʼ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν ἡρώων,		unscored	unscored		unscored	unscored	souls	unscored	unscored	souls	unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
16	Ἄϊδι	3	πολλὰς δʼ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν	δʼ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν ἡρώων, αὐτοὺς		unscored	unscored	to Hades	unscored	unscored	to-Hades	unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
17	προΐαψεν	3	πολλὰς δʼ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν	ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν ἡρώων, αὐτοὺς δὲ	it sent forth	unscored	unscored	sent-ahead	unscored	unscored		unscored	unscored		unscored	unscored	unscored		unscored		unscored		unscored		unscored		unscored		unscored	
